OpenSimKit output file created by OpenSimKit Java Version 3.7beta
Start time: 2012-07-28T13:12:03.421
System: Rocket propulsion system
Case:   nominal operation
Note:   03.01.2011

Result-table:
Mission Time	20_ENGINE-THRUST	20_ENGINE-ALT	22_STRUCTURE-SCVELOCITYX	22_STRUCTURE-SCVELOCITYY	22_STRUCTURE-SCVELOCITYZ	22_STRUCTURE-SCPOSITIONX	22_STRUCTURE-SCPOSITIONY	22_STRUCTURE-SCPOSITIONZ	22_STRUCTURE-SCPOSX_ECEF	22_STRUCTURE-SCPOSY_ECEF	22_STRUCTURE-SCPOSZ_ECEF	22_STRUCTURE-SCVELX_ECEF	22_STRUCTURE-SCVELY_ECEF	22_STRUCTURE-SCVELZ_ECEF	22_STRUCTURE-SCPOSLAT	22_STRUCTURE-SCPOSLON	22_STRUCTURE-SCPOSALT
2010-03-01T23:01:20.000	100.000000	613111.369536	-2997.904764	2488.892282	6504.555310	6403602.434133	999805.208726	2613358.194796	-4656306.572329	-4504478.874548	2619895.955450	3561.153786	35.909841	6501.528816	0.386424	-2.372767	613111.369536
2010-03-01T23:01:40.000	100.000000	614093.758737	-3147.688738	2465.663404	6443.668306	6341994.315376	1049329.441866	2742784.536001	-4583883.682080	-4502713.689766	2749260.082624	3669.993336	130.031263	6440.488892	0.406519	-2.365127	614093.758737
2010-03-01T23:02:00.000	100.000000	615112.552733	-3295.982786	2441.285893	6379.771597	6277406.789272	1098376.442542	2870959.977961	-4509300.112034	-4499069.997197	2877370.268581	3777.386049	223.761495	6376.440768	0.426581	-2.357330	615112.552733
2010-03-01T23:02:20.000	100.000000	616168.626081	-3442.716353	2415.772122	6312.897711	6209870.431731	1146923.373243	2997824.681867	-4432585.367331	-4493556.074385	3004166.705406	3883.280260	317.059748	6309.417043	0.446607	-2.349364	616168.626081
2010-03-01T23:02:40.000	100.000000	617262.822112	-3587.819694	2389.135046	6243.080693	6139417.220935	1194947.650322	3123319.476183	-4353769.978995	-4486181.010924	3129590.253891	3987.624970	409.885592	6239.451836	0.466595	-2.341217	617262.822112
2010-03-01T23:03:00.000	100.000000	618395.953233	-3731.223908	2361.388191	6170.356094	6066080.520751	1242426.955523	3247385.886859	-4272885.490389	-4476954.701006	3253582.473732	4090.369875	502.198972	6166.580766	0.486541	-2.332876	618395.953233
2010-03-01T23:03:20.000	100.000000	619568.801275	-3872.860986	2332.545650	6094.760945	5989895.063327	1289339.247355	3369966.167181	-4189964.442871	-4465887.835702	3376085.653356	4191.465394	593.960237	6090.840934	0.506443	-2.324328	619568.801275
2010-03-01T23:03:40.000	100.000000	620782.117880	-4012.663844	2302.622073	6016.333744	5910896.930872	1335662.772334	3491003.327238	-4105040.360977	-4452991.894663	3497042.839371	4290.862706	685.130157	6012.270908	0.526297	-2.315559	620782.117880
2010-03-01T23:04:00.000	100.000000	622036.624935	-4150.566370	2271.632661	5935.114434	5829123.536634	1381376.076059	3610441.162989	-4018147.736993	-4438279.137403	3616397.865618	4388.513778	775.669943	5930.910696	0.546100	-2.306553	622036.624935
2010-03-01T23:04:20.000	100.000000	623333.015050	-4286.503460	2239.593159	5851.144377	5744613.605097	1426458.014139	3728224.284908	-3929322.014773	-4421762.594310	3734095.381791	4484.371394	865.541272	5846.801729	0.565849	-2.297295	623333.015050
2010-03-01T23:04:40.000	100.000000	624671.952077	-4420.411056	2206.519844	5764.466338	5657407.151386	1470887.762942	3844298.146185	-3838599.573108	-4403456.057099	3850080.881621	4578.389183	954.706304	5759.986836	0.585539	-2.287768	624671.952077
2010-03-01T23:05:00.000	100.000000	626054.071667	-4552.226183	2172.429518	5675.124457	5567545.459925	1514644.830171	3958609.070471	-3746017.708509	-4383374.068870	3964300.730597	4670.521655	1043.127701	5670.510222	0.605167	-2.277953	626054.071667
2010-03-01T23:05:20.000	100.000000	627479.981867	-4681.886991	2137.339498	5583.164227	5475071.062323	1557709.065256	4071104.279138	-3651614.617273	-4361531.913899	4076702.193201	4760.724221	1130.768652	5578.417443	0.624729	-2.267831	627479.981867
2010-03-01T23:05:40.000	100.000000	628950.263759	-4809.332786	2101.267608	5488.632467	5380027.714535	1600060.669550	4181731.918041	-3555429.377118	-4337945.606904	4187233.459652	4848.953226	1217.592886	5483.755379	0.644219	-2.257382	628950.263759
2010-03-01T23:06:00.000	100.000000	630465.472128	-4934.504071	2064.232165	5391.577296	5282460.373285	1641680.206334	4290441.083761	-3457501.928270	-4312631.881936	4295843.672125	4935.165977	1303.564695	5386.572212	0.663633	-2.246582	630465.472128
2010-03-01T23:06:20.000	100.000000	632026.136163	-5057.342578	2026.251974	5292.048106	5182415.171782	1682548.610612	4397181.849314	-3357873.053852	-4285608.181007	4402482.950430	5019.320769	1388.648951	5286.917392	0.682966	-2.235409	632026.136163
2010-03-01T23:06:40.000	100.000000	633632.760192	-5177.791305	1987.346312	5190.095534	5079939.394727	1722647.198691	4501905.289303	-3256584.359896	-4256892.642217	4507102.417145	5101.376909	1472.811128	5184.841615	0.702211	-2.223838	633632.760192
2010-03-01T23:07:00.000	100.000000	635285.824440	-5295.794548	1947.534919	5085.771434	4975081.452639	1761957.677544	4604563.504500	-3153678.254743	-4226504.087596	4609654.222165	5181.294746	1556.017314	5080.396791	0.721364	-2.211840	635285.824440
2010-03-01T23:07:20.000	100.000000	636985.785811	-5411.297936	1906.837989	4979.128843	4867890.855506	1800462.153948	4705109.645823	-3049197.928007	-4194462.010515	4710091.566659	5259.035697	1638.234233	4973.636015	0.740417	-2.199387	636985.785811
2010-03-01T23:07:40.000	100.000000	638733.078690	-5524.248462	1865.276153	4870.221956	4758418.185774	1838143.143379	4803497.937719	-2943187.328893	-4160786.562866	4808368.726424	5334.562267	1719.429261	4864.613534	0.759362	-2.186447	638733.078690
2010-03-01T23:08:00.000	100.000000	640528.115763	-5634.594518	1822.870470	4759.106088	4646715.070700	1874983.578682	4899683.700907	-2835691.144156	-4125498.541791	4904441.074594	5407.838077	1799.570443	4753.384716	0.778193	-2.172987	640528.115763
2010-03-01T23:08:20.000	100.000000	642371.288844	-5742.285922	1779.642416	4645.837646	4532834.154073	1910966.818472	4993623.374466	-2726754.775582	-4088619.376089	4998265.103709	5478.827888	1878.626509	4640.006020	0.796901	-2.158970	642371.288844
2010-03-01T23:08:40.000	100.000000	644262.969719	-5847.273950	1735.613866	4530.474091	4416829.067328	1946076.655301	5085274.537271	-2616424.316875	-4050171.112379	5089798.447114	5547.497622	1956.566893	4524.534958	0.815477	-2.144357	644262.969719
2010-03-01T23:09:00.000	100.000000	646203.510981	-5949.511365	1690.807086	4413.073906	4298754.400071	1980297.323548	5174595.928730	-2504746.530218	-4010176.400862	5178999.899666	5613.814384	2033.361744	4407.030060	0.833911	-2.129106	646203.510981
2010-03-01T23:09:20.000	100.000000	648193.246882	-6048.952444	1645.244716	4293.696562	4178665.670028	2013613.507044	5261547.468816	-2391768.822409	-3968658.480766	5265829.437745	5677.746485	2108.981944	4287.550842	0.852193	-2.113173	648193.246882
2010-03-01T23:09:40.000	100.000000	650232.494162	-6145.553009	1598.949758	4172.402474	4056619.292444	2046010.346431	5346090.277385	-2277539.220443	-3925641.165587	5350248.238528	5739.263463	2183.399124	4166.157769	0.870309	-2.096507	650232.494162
2010-03-01T23:10:00.000	100.000000	652321.552887	-6239.270447	1551.945561	4049.252974	3932672.548959	2077473.446224	5428186.692742	-2162106.346828	-3881148.827948	5432218.698532	5798.336099	2256.585676	4042.912213	0.888249	-2.079058	652321.552887
2010-03-01T23:10:20.000	100.000000	654460.707264	-6330.063739	1504.255805	3924.310264	3806883.555961	2107988.881596	5507800.289456	-2045519.394508	-3835206.384185	5511704.451394	5854.936439	2328.514766	3917.876420	0.905997	-2.060769	654460.707264
2010-03-01T23:10:40.000	100.000000	656650.226443	-6417.893484	1455.904491	3797.637382	3679311.232476	2137543.204863	5584895.895399	-1927828.101309	-3787839.278736	5588670.384876	5909.037812	2399.160351	3791.113466	0.923538	-2.041580	656650.226443
2010-03-01T23:11:00.000	100.000000	658890.365305	-6502.721917	1406.915920	3669.298159	3550015.267577	2166123.451676	5659439.607988	-1809082.724176	-3739073.468200	5663082.657077	5960.614844	2468.497187	3662.687223	0.940856	-2.021426	658890.365305
